node
ISR
PSE
USA
CHN
GBR
IRN
RUS
FRA
UKR
SYR
CAN
CUB
IRQ
JPN
MEX
TUR
DEU
PAK
AFG
AUS
ZAF
AFR
EUR
SAU
YEM
ITA
IRL
VNM
GRC
ESP
KOR
LBN
PRK
EGY
JOR
TWN
IDN
IND
NZL
NGA
PHL
NMR
ARM
CHE
MDV
LBY
MYS
NLD
BEL
KEN
BLR
POL
AZE
SOM
BRA
WST
VEN
BRN
TCD
ZWE
THA
SSD
SDN
CMR
AUT
NER
SEA
SGP
ARG
JAM
PAN
NOR
QAT
ARE
COL
DNK
CYP
BGD
BHS
MCO
NPL
CHL
VAT
SWE
HUN
SRB
KAZ
MMR
HTI
LKA
ETH
UGA
PER
TUN
GUY
BOL
HRV
ECU
KHM
LBR
MLI
SAS
SLV
GHA
LUX
GTM
ALB
EST
KWT
LTU
FIN
DOM
HND
BDI
RWA
TJK
MKD
MAR
DZA
KGZ
NIC
PRT
BEN
BHR
BGR
TZA
TKM
OMN
DJI
CRI
CZE
COD
MOZ
LVA
