Actor1CountryCode,Actor2CountryCode,Strength,Month
ISR,PSE,-7.558858808,0
USA,CHN,4.671059679,0
GBR,USA,3.43645741,0
USA,GBR,3.761095152,0
USA,IRN,3.098378432,0
CHN,USA,4.543376807,0
PSE,ISR,-7.299742679,0
USA,RUS,2.161364962,0
USA,ISR,2.363372942,0
IRN,USA,2.449372989,0
USA,FRA,2.909320313,0
RUS,UKR,-0.761441717,0
USA,SYR,1.449170205,0
RUS,USA,2.886121518,0
FRA,USA,2.959980904,0
RUS,SYR,-1.854254223,0
USA,CAN,3.581925666,0
CAN,USA,3.598122933,0
ISR,USA,2.163559399,0
UKR,RUS,-0.637624444,0
USA,CUB,6.646264923,0
USA,IRQ,0.519977118,0
CUB,USA,6.393397321,0
USA,JPN,3.635405795,0
USA,MEX,1.834063628,0
JPN,USA,3.83081534,0
TUR,SYR,-3.631186856,0
MEX,USA,1.324323141,0
DEU,USA,3.972855486,0
PAK,AFG,1.36024325,0
USA,DEU,4.637808288,0
AUS,USA,3.25512866,0
IRQ,USA,-0.979818681,0
SYR,USA,1.807014569,0
ZAF,AFR,-0.60850813,0
AFG,PAK,0.615658591,0
USA,AFR,1.387251839,0
TUR,RUS,-3.278872595,0
USA,AFG,1.295430823,0
USA,AUS,3.858420766,0
AFR,USA,0.931739096,0
SYR,RUS,1.10298826,0
RUS,TUR,-1.880050877,0
USA,EUR,5.055572693,0
GBR,FRA,5.220597736,0
FRA,GBR,5.29843808,0
DEU,FRA,7.634475876,0
FRA,DEU,7.48383715,0
SYR,TUR,-0.841512527,0
CHN,JPN,3.876367574,0
RUS,IRN,7.689742479,0
SAU,YEM,-8.368738574,0
AFR,ZAF,1.85741167,0
ISR,IRN,-1.598707735,0
EUR,USA,4.581346378,0
JPN,CHN,4.190420151,0
USA,TUR,3.026184763,0
RUS,CHN,8.490337034,0
AFG,USA,-1.661107392,0
USA,PAK,2.659248909,0
USA,SAU,3.602878958,0
CHN,RUS,8.594180026,0
USA,ITA,4.106709034,0
ITA,USA,3.669945197,0
FRA,RUS,7.491621622,0
TUR,USA,2.84064416,0
GBR,CHN,8.248738063,0
IRN,RUS,8.259627045,0
SAU,USA,2.033625887,0
GBR,SYR,0.67692926,0
IRN,SYR,3.544738987,0
IRN,ISR,-0.309105795,0
CHN,GBR,7.962195561,0
RUS,FRA,7.663844861,0
DEU,RUS,6.651434081,0
IRQ,SYR,-3.559280517,0
SYR,IRQ,-3.373410733,0
PAK,USA,2.13651834,0
IRL,GBR,3.245480483,0
GBR,EUR,5.166227265,0
GBR,IRL,3.542316523,0
USA,VNM,3.64870697,0
USA,UKR,4.227000902,0
YEM,SAU,-5.755767548,0
GBR,DEU,6.122836538,0
GBR,RUS,3.271051329,0
RUS,DEU,7.570620117,0
IRN,SAU,-1.033506625,0
DEU,GBR,6.384447426,0
GRC,EUR,5.291165256,0
VNM,USA,2.339266072,0
IRN,IRQ,1.658202568,0
IRL,USA,3.361109783,0
DEU,GRC,4.180773829,0
USA,ESP,3.720769525,0
KOR,JPN,5.831347225,0
ESP,USA,2.493847064,0
CHN,PAK,8.217451496,0
USA,IRL,3.185255932,0
LBN,SYR,-2.796705812,0
KOR,PRK,0.533765065,0
EUR,GRC,5.662448959,0
SAU,IRN,-0.780155701,0
EUR,RUS,0.778993154,0
USA,EGY,2.864299701,0
RUS,GBR,4.433821248,0
DEU,EUR,3.894487488,0
JOR,USA,0.006902711,0
PRK,KOR,-1.079302474,0
GRC,USA,2.708827279,0
AUS,GBR,4.148946542,0
PAK,CHN,8.412863504,0
CHN,TWN,5.134561907,0
USA,GRC,3.557819225,0
GBR,AUS,4.385873007,0
AUS,IDN,0.961308589,0
RUS,EUR,3.545578575,0
JPN,KOR,6.934443944,0
IRQ,IRN,0.88917255,0
EGY,USA,1.710397779,0
TWN,CHN,5.863553856,0
FRA,SYR,-3.145674642,0
IDN,AUS,-1.440583357,0
TUR,IRQ,-1.756356079,0
IND,PAK,-0.26505864,0
CAN,GBR,3.713209189,0
AUS,NZL,4.126145271,0
SYR,IRN,-0.076209044,0
USA,KOR,4.618567269,0
USA,NGA,3.974501341,0
ISR,SYR,-8.231246718,0
KOR,USA,4.782363285,0
EUR,GBR,5.583233533,0
USA,PHL,4.282928137,0
PHL,USA,3.778347167,0
GBR,CAN,4.015060684,0
SYR,LBN,-2.587259021,0
USA,JOR,1.249428518,0
SYR,GBR,0.572527128,0
FRA,EUR,2.298693852,0
NGA,USA,3.516404582,1
NZL,AUS,4.628249174,1
AUS,CHN,7.042118628,1
PAK,IND,0.335829681,1
CHN,KOR,6.858788278,1
KOR,CHN,7.327598114,1
PHL,CHN,-0.03432377,1
GRC,DEU,4.915039799,1
RUS,EGY,2.188560964,1
IRQ,TUR,-0.187620269,1
NMR,USA,5.921380798,1
CHN,FRA,8.883364526,1
UKR,USA,2.418909302,1
FRA,IRN,8.157619359,1
TUR,ARM,-3.034726969,1
USA,PSE,0.854832836,1
FRA,CHN,9.064015817,1
EUR,DEU,5.411376311,1
GBR,IRN,6.566350282,1
CHN,AUS,7.443578709,1
CHE,USA,4.48899145,1
USA,YEM,-2.092911239,1
IND,USA,3.999242772,1
DEU,UKR,8.134444531,1
CAN,SYR,7.622497868,1
USA,IND,4.791369444,1
EGY,ISR,2.05158831,1
USA,MDV,-4.638666134,1
USA,LBY,-3.703611089,1
EUR,FRA,3.073039725,1
USA,CHE,5.361614029,1
IRN,YEM,1.527160697,1
EGY,RUS,4.420314041,1
USA,NMR,6.544854772,1
MYS,CHN,5.111527859,1
CHN,PHL,0.703060712,1
IRN,FRA,7.801155489,1
USA,NLD,4.426795247,1
DEU,IRN,8.790391428,1
NLD,USA,3.605558923,1
PAK,SAU,4.724100184,1
NGA,AFR,1.728153173,1
CHN,IRN,9.338407557,1
BEL,FRA,-5.248609987,1
ISR,EGY,2.651059036,1
SYR,ISR,-7.294176252,1
USA,KEN,3.743070615,1
SAU,SYR,2.938998525,1
EUR,UKR,5.099243768,1
USA,PRK,-0.150154654,1
TUR,IRN,0.26356092,1
JOR,SYR,2.152799547,1
LBY,USA,-4.639429816,1
CHN,MYS,4.697839536,1
SYR,FRA,-0.404632466,1
RUS,BLR,6.434662045,1
USA,POL,-0.24581485,1
IRN,GBR,7.687103348,1
FRA,BEL,-4.112349309,1
TUR,GRC,4.190341578,1
POL,USA,1.050088933,1
GBR,ISR,0.641805226,1
ARM,AZE,-3.172599485,1
MYS,IDN,5.319563708,1
RUS,ARM,4.156236346,1
BEL,EUR,4.991372588,1
KEN,SOM,-2.902111901,1
UKR,DEU,9.516179122,1
AZE,ARM,-4.928714372,1
DEU,CHN,9.6502683,1
GRC,TUR,4.955627661,1
ARM,TUR,-0.305830606,1
VNM,CHN,3.792938287,1
BRA,USA,4.44907341,1
WST,RUS,-3.021262767,1
ITA,FRA,5.364602044,1
CHN,VNM,2.163986773,1
CHN,DEU,9.575697542,1
IDN,MYS,5.375784334,1
USA,BRA,5.255443485,1
CHN,AFR,7.19806371,1
FRA,UKR,9.186867319,1
GBR,ESP,0.533231611,1
FRA,ITA,5.170150042,1
YEM,USA,-1.730550527,1
ISR,FRA,1.446981233,1
ARM,RUS,4.233860045,1
IRN,DEU,9.483299191,1
KEN,USA,4.132817404,1
SYR,JOR,1.494605719,1
IRN,TUR,1.893922652,1
SAU,PAK,4.556213275,1
PRK,USA,-0.291997823,1
TUR,EUR,5.015389653,1
GBR,IRQ,-1.642627258,1
AFR,NGA,3.240217391,1
USA,VEN,0.292400844,1
CAN,FRA,4.119977753,1
IRN,CHN,10.05825351,1
CHN,BRN,0.380067002,1
TCD,NGA,-5.763053691,1
BLR,RUS,7.15568869,1
ESP,GBR,0.159084791,1
FRA,ISR,0.430712116,1
VEN,USA,1.163405552,1
ITA,GBR,4.433057289,1
EUR,BEL,5.589726416,1
EUR,TUR,6.644873547,1
CHN,PRK,2.105403855,1
AUS,CAN,4.664178247,1
JOR,ISR,2.050495164,1
UKR,EUR,5.8865625,1
FRA,CAN,3.255442098,1
GBR,EGY,3.886938349,1
EGY,LBY,-4.724092527,1
GBR,NGA,2.888283021,1
AUS,FRA,1.452688301,1
UKR,FRA,9.579654303,1
PSE,USA,-3.263989917,1
CAN,AUS,5.40419169,1
GBR,PAK,1.440162923,1
IRQ,AFG,-4.529059935,1
SOM,KEN,-5.386103848,1
ISR,LBN,-8.482700263,1
GBR,ITA,5.226676714,1
FRA,GRC,4.938844221,1
DEU,SYR,5.301170253,1
UKR,BLR,6.426443156,1
USA,LBN,3.822475734,1
ITA,EUR,4.558907574,1
ZWE,USA,-2.780320102,1
PAK,GBR,0.424515964,1
GBR,TUR,2.913904983,1
NZL,USA,4.920828494,1
SAU,RUS,6.584355234,1
TUR,GBR,1.165814406,1
ESP,FRA,2.543354554,1
AUS,JPN,5.287426557,1
EGY,GBR,3.778940432,1
IRN,CHE,7.947211896,1
ISR,JOR,4.485041883,1
THA,CHN,5.506854785,1
FRA,ESP,3.863817891,1
EGY,PSE,-1.892981988,1
MDV,USA,-3.69609815,1
SSD,SDN,-1.268297272,1
LBN,USA,0.292329431,1
IDN,USA,2.132306445,1
ISR,RUS,2.261944745,1
NGA,CMR,-2.065802687,1
GRC,RUS,5.780927765,1
DEU,TUR,3.820670315,1
MYS,USA,3.846487603,1
LBN,ISR,-8.492209046,1
AFR,CHN,7.858453437,1
USA,IDN,3.974636175,1
SAU,EGY,5.503117172,1
USA,ARM,5.333031611,1
CHE,IRN,8.774707521,1
DEU,AUT,5.426056043,1
FRA,AUS,1.628176487,1
YEM,IRN,-0.313521837,1
USA,MYS,4.611680672,1
JPN,AUS,6.193745608,1
TUR,SAU,6.544377284,1
NER,NGA,-2.927709827,1
USA,NZL,5.464759758,1
RUS,WST,-1.085784867,1
AFG,IRQ,0.081493553,1
SYR,SAU,2.63943742,1
TUR,ISR,1.934995737,1
EUR,SYR,6.896032987,1
SYR,EUR,4.788737201,1
NGA,GBR,2.677300526,1
CAN,CHN,6.01835425,1
NGA,TCD,-2.555693493,1
DEU,ITA,6.409126019,1
RUS,SAU,7.311238368,1
RUS,GRC,7.788804363,1
BEL,USA,2.737004025,1
BLR,UKR,7.526730104,1
TUR,FRA,-1.021309816,1
RUS,ISR,1.677748805,1
ITA,DEU,6.208841463,1
EGY,SAU,5.481168265,1
CMR,NGA,-1.742408377,1
USA,BEL,2.937469091,1
KEN,AFR,4.178521435,1
GBR,AFR,3.43291472,1
PHL,SEA,-2.220166837,1
PRK,CHN,2.604024587,1
ISR,GBR,2.542503337,1
LBY,EGY,-5.734456151,1
AUT,DEU,6.151997008,1
CHN,SGP,6.797768396,1
SYR,CAN,4.535590909,1
ARG,USA,3.294998484,1
USA,JAM,2.896199634,1
SDN,SSD,-0.361353176,1
USA,ZWE,-4.901460415,1
THA,MYS,4.0846367,1
USA,PAN,4.35090097,1
IRN,PAK,4.886491092,1
BEL,GRC,5.10432357,1
ISR,TUR,1.644676894,1
FRA,TUR,0.914230171,1
EUR,ITA,5.496778711,1
SGP,CHN,6.928410689,1
IRN,AUT,7.255142232,1
AUT,IRN,7.40622062,1
NGA,NER,-0.167781441,1
SAU,TUR,6.907328605,1
CHN,CAN,5.522146911,1
NOR,USA,4.03549763,1
CHN,EUR,7.360939725,1
EGY,QAT,0.666650786,1
USA,ARE,6.697071463,1
CHN,THA,6.283258929,1
THA,USA,1.836988937,1
RUS,JPN,4.820285898,1
PAN,USA,3.162566329,1
GBR,JPN,4.259043324,1
USA,COL,3.768970517,1
GRC,BEL,5.131661238,1
USA,QAT,5.331067802,1
PAK,IRN,5.746499753,1
AUS,SYR,2.64567942,1
AUS,MYS,3.590434495,1
JAM,USA,3.310034774,1
MYS,THA,4.868168268,1
USA,SOM,0.435214072,1
JOR,IRN,3.945984672,1
IRQ,GBR,0.346920381,1
POL,RUS,-0.265757322,1
DNK,USA,1.733283057,1
JPN,PHL,5.695465995,1
COL,USA,3.187468376,1
GBR,SAU,5.330632612,1
ZWE,AFR,2.338545023,1
ARE,USA,4.434820662,1
AFR,GBR,3.395313577,1
USA,ARG,4.21694886,1
EUR,CHN,7.044816862,1
ARM,USA,5.279292404,1
SOM,USA,-0.07096214,1
IRN,JOR,4.708831712,1
JPN,GBR,5.219905874,1
EUR,IRN,6.570099668,1
TUR,CYP,4.712996327,1
PSE,EGY,-0.075276558,1
DEU,ISR,4.290516333,1
USA,TWN,6.864054814,1
IND,BGD,3.841456977,1
NLD,GBR,3.528895932,1
BHS,USA,2.721930597,1
MYS,SEA,4.599206349,1
MCO,USA,0.568987454,1
GBR,GRC,4.717926031,1
JPN,RUS,5.165698086,1
TUR,DEU,4.764400428,1
CHN,NPL,9.790641186,1
PHL,JPN,5.787712091,1
USA,THA,3.910187668,1
GRC,FRA,5.263533835,1
SGP,MYS,5.940994236,1
CHL,USA,4.281041629,1
MYS,SGP,5.593438178,1
IRN,EUR,6.834669084,1
USA,CHL,4.420762943,1
VAT,USA,5.749243942,1
FRA,EGY,6.243024105,1
IND,GBR,2.972378517,1
ISR,DEU,4.433920705,1
IND,CHN,5.979473975,1
SWE,USA,3.909171271,1
USA,BHS,3.382664942,1
IDN,PHL,0.407986689,1
USA,NOR,4.847541288,1
GBR,BEL,4.283828444,1
USA,DNK,2.607769892,1
PAK,YEM,1.339285714,1
USA,AUT,6.054145516,1
QAT,USA,5.989322421,1
PHL,IDN,3.497905161,1
ITA,GRC,5.191441098,1
MYS,AUS,4.42813514,1
SAU,GBR,2.97479473,1
AUT,USA,5.666080978,1
AFR,KEN,4.803211009,1
TWN,USA,6.888933486,1
GBR,AFG,-1.903056517,1
IDN,CHN,5.546337243,1
QAT,EGY,0.683833718,1
SEA,PHL,-2.221169433,1
HUN,SRB,-6.540852472,1
ISR,EUR,3.914257889,1
USA,VAT,5.437170732,1
RUS,KAZ,7.511124122,1
HUN,EUR,1.347127784,1
BEL,GBR,3.657100939,1
TCD,CMR,-1.18109219,1
AFR,ZWE,2.358192866,1
CHN,MMR,1.329370218,1
CHN,AFG,8.84605573,1
SDN,EGY,6.005965741,1
GRC,GBR,4.260980894,1
CHN,IND,5.533385889,1
GBR,NLD,4.783306931,1
USA,HTI,4.781592534,1
LKA,CHN,8.796860719,1
MMR,CHN,0.631682578,1
EGY,SDN,6.290345793,1
USA,ETH,5.889186488,1
RUS,AFG,4.487741546,1
KEN,UGA,7.364850579,1
SAU,ISR,2.747336316,1
SYR,DEU,4.65817738,1
USA,SWE,5.473272171,1
RUS,POL,-0.220946359,1
CHN,LKA,8.835205228,1
USA,PER,5.626288871,1
IRN,AFG,4.849979533,1
CHN,IDN,6.919479721,1
RUS,IRQ,1.046149107,1
EGY,FRA,5.791923551,1
CYP,TUR,5.967359111,1
CHN,SEA,6.928148148,1
GRC,ITA,6.039267339,1
SEA,MYS,4.541759603,1
PER,USA,4.784626556,1
BRN,CHN,2.473520249,1
DEU,ESP,5.631362307,1
GRC,CYP,4.491015707,1
AZE,RUS,5.871005669,1
KAZ,RUS,8.39060727,1
JOR,IRQ,-0.269822109,1
USA,BGD,-0.990546842,1
USA,WST,2.953381386,1
EUR,ISR,2.536039856,1
IRQ,RUS,3.464799491,1
AZE,TUR,7.257549979,1
RUS,AZE,6.627208857,1
SEA,CHN,5.704932735,1
FRA,IRQ,-3.647297586,1
CAN,EGY,5.164528544,1
IRN,LBN,2.747871658,1
BGD,PAK,-2.270694087,1
EGY,SYR,1.411142181,1
USA,SGP,6.57641611,1
UGA,KEN,7.137322122,1
ESP,DEU,5.497621622,1
NPL,CHN,8.51834743,1
GBR,IND,4.091447797,1
BGD,IND,4.921644737,1
TUR,AZE,8.004431768,1
SGP,USA,6.750925518,1
AUS,IRQ,1.815705765,1
USA,LKA,6.63798895,1
USA,MMR,4.155616984,1
TUN,GBR,-11.135501,1
AFR,SDN,0.685704802,1
GBR,SWE,-0.873586161,1
DEU,POL,1.558616101,1
POL,DEU,2.776700756,1
IDN,SGP,4.670484875,1
BGD,USA,-1.178169643,1
AFG,GBR,-5.737877095,1
SDN,AFR,1.637986577,1
HTI,USA,3.459955157,1
PAK,RUS,9.849312908,1
IDN,SEA,2.859463722,1
USA,NPL,7.022570462,1
CAN,MEX,6.678317079,1
TUR,CHN,3.786392549,1
USA,MCO,2.146342572,1
GBR,TUN,-6.27198364,1
ETH,SDN,9.970311434,1
SDN,ETH,9.56630137,1
IRQ,SAU,-2.14890411,1
SGP,IDN,3.980713795,1
AFR,EUR,5.496206897,1
RUS,PAK,9.871715076,1
VEN,COL,-2.278888889,1
PAK,BGD,0.267914439,1
SAU,QAT,6.909837209,1
CAN,IRQ,-0.711458576,1
TCD,NER,-2.312184874,1
EUR,AFR,7.21555348,1
THA,MMR,2.925228177,1
JOR,SAU,5.148030942,1
FRA,CHE,4.750821982,1
ITA,LBY,4.554062352,1
EGY,CAN,4.886739285,1
CYP,GRC,6.023246445,1
USA,GUY,3.126032959,1
SAU,ARE,4.869147918,1
GBR,CHE,6.636997126,1
MEX,CAN,5.747769784,1
SYR,AUS,1.175732117,1
AFG,IRN,4.933839479,1
NZL,GBR,4.838151544,1
CMR,TCD,-3.451883148,1
EGY,ETH,8.877672727,1
NPL,USA,4.581077147,1
GBR,NZL,4.97890644,1
WST,TUR,3.362685478,1
GRC,SYR,9.381167883,1
GUY,USA,2.327219369,1
CHE,GBR,6.528962818,1
CHE,FRA,4.518851252,1
ITA,ESP,6.328247474,1
ARE,SAU,4.207557422,1
EGY,YEM,1.245166873,1
IRL,EUR,5.291916687,1
SAU,FRA,5.547686567,1
MMR,THA,3.856576981,1
AUT,HUN,0.15825,1
FRA,AFR,3.969271225,1
PHL,MYS,0.287299599,1
NER,TCD,-3.213587365,1
ESP,EUR,3.784186747,1
BOL,USA,3.648460374,1
LKA,USA,6.389316456,1
ESP,ITA,6.405882353,1
ETH,AFR,5.196115765,1
MYS,PHL,0.622521138,1
CHN,TUR,3.862701871,1
QAT,SAU,7.155789474,1
FRA,SAU,7.160581126,1
ETH,USA,5.920340294,1
SOM,ETH,-3.743269727,1
USA,SDN,2.49018595,1
CAN,JPN,8.537364341,1
HUN,HRV,-8.592701863,1
SYR,EGY,1.613889609,1
CAN,ISR,2.846810166,1
ECU,USA,4.997534389,1
CAN,RUS,0.260479042,1
USA,SEA,4.04859375,1
FRA,IRL,3.633125,1
USA,BOL,5.352112676,1
HUN,DEU,3.23341195,1
DEU,BEL,4.191887634,1
SEA,IDN,2.976201734,1
AFG,CHN,8.195684211,1
DEU,JPN,5.153540405,1
SAU,IRQ,-0.290662094,1
CHN,BRA,9.743174603,1
HUN,AUT,2.956632248,1
SAU,JOR,5.512877583,1
WST,AFG,-2.665851064,1
POL,EUR,3.577961139,1
DEU,CAN,5.550638978,1
KHM,VNM,2.604217832,1
USA,ECU,6.115594126,1
USA,AZE,6.007714975,1
ETH,EGY,9.722043443,1
USA,ZAF,3.051046699,1
FRA,NLD,4.549462943,1
LBN,IRN,1.746555436,1
ISR,SAU,3.71935397,1
TUR,WST,3.865831987,1
JPN,VNM,8.272259629,1
USA,LBR,5.842293131,1
JPN,FRA,4.822477685,1
BEL,DEU,3.629121475,1
CAN,DEU,5.299292709,1
GBR,ARE,7.236258278,1
EUR,HUN,3.723240997,1
COL,VEN,0.161172874,1
ZAF,USA,2.432050209,1
FRA,MLI,-2.530150754,1
AFG,RUS,1.631218558,1
ARE,GBR,6.330160067,1
FRA,JPN,4.994578652,1
NZL,CHN,7.40465707,1
IRL,FRA,3.567306607,1
THA,IDN,6.677162239,1
PAK,SAS,0.299065421,1
SWE,GBR,0.929345052,1
SDN,USA,2.12855925,1
NLD,FRA,5.029014806,1
BRA,CHN,10.48759977,1
IRQ,JOR,0.878516184,1
JPN,CAN,7.680946915,1
JPN,DEU,6.653170029,1
TUR,EGY,2.244579358,1
IRQ,FRA,-2.56015625,1
TWN,JPN,6.334635417,1
USA,SLV,-0.318679409,1
CHN,NZL,7.052325241,1
LBR,USA,5.641878841,1
MMR,USA,4.331343284,1
GBR,LBY,-1.545686619,1
CAN,UKR,7.622607164,1
WST,USA,2.597233667,1
GHA,AFR,4.904681979,1
DEU,NLD,5.562897527,1
AFR,FRA,1.909926362,1
AUT,EUR,4.321538008,1
AZE,EUR,6.457400295,1
AUS,TUR,2.057953873,1
DEU,AUS,3.46749556,1
ITA,RUS,4.641548043,1
ITA,VAT,3.609662988,1
LUX,EUR,6.323125187,1
TCD,USA,-1.772009569,1
TUN,LBY,-2.349414941,1
DEU,EGY,3.637623762,1
AUS,EUR,6.391739261,1
IDN,THA,7.142814191,1
VNM,KHM,4.578519856,1
SLV,USA,-0.916521216,1
IRN,PSE,6.050436879,1
SYR,GRC,4.765450708,1
RUS,AUT,7.56760181,1
PRK,JPN,-2.474932127,1
EUR,AZE,5.007824773,1
PAK,TUR,8.296517262,1
USA,GTM,2.703364656,1
JOR,PSE,5.089633222,1
GTM,USA,-1.21138088,1
EUR,IRL,5.45033557,1
EGY,AUS,3.436029412,1
USA,TCD,-2.738902514,1
UGA,AFR,4.906866953,1
EUR,ESP,5.379024839,1
AUT,SYR,4.378950598,1
EUR,LUX,6.269981584,1
AUS,DEU,4.132728391,1
JOR,EGY,5.023333333,1
IND,NPL,2.722962963,1
GRC,ALB,1.832056825,1
HRV,SRB,-3.66,1
RUS,ITA,6.012104283,1
NLD,DEU,5.318249534,1
EUR,ARM,7.099534017,1
AFR,ETH,6.1144427,1
EST,RUS,-0.712689394,1
PSE,SYR,-1.143791469,1
JPN,PRK,-1.266529579,1
AZE,USA,5.627350427,1
VAT,ITA,4.161419069,1
DEU,HUN,4.142644261,1
MYS,GBR,2.099809584,1
AUS,EGY,4.683726115,1
USA,GHA,5.438456633,1
KWT,SAU,1.969760766,1
VNM,JPN,8.95410412,1
CAN,EUR,7.164440895,1
EGY,TUR,2.418138196,1
AUS,VNM,6.030596537,1
DEU,CHE,6.155029014,1
AUT,RUS,8.034538412,1
LTU,RUS,-0.62918552,1
FIN,USA,4.85865976,1
CHN,ZWE,9.457976654,1
RUS,PRK,6.545100584,1
SEA,USA,4.522709552,1
IRN,AZE,7.999055375,1
AUS,IRL,0.641047463,1
PAK,FRA,-3.906391347,1
USA,DOM,4.635683831,1
ARG,IRN,-1.750492126,1
GBR,MYS,2.918844386,1
TUR,PAK,7.352714709,1
PSE,JOR,3.69297725,1
LBY,TUN,-3.931161098,1
USA,HND,1.973153693,1
EUR,POL,5.6333,1
EUR,AUS,6.455113636,1
