source,target,strength,month,weight
JOR,DEU,3.7,2,3.7
CHN,CZE,3.7,2,3.7
IRN,USA,3.688235294,2,3.688235294
USA,NLD,3.666666667,2,3.666666667
AFR,ZAF,3.666666667,2,3.666666667
BEL,USA,-3.660465116,2,3.660465116
ISR,TUR,-3.65,2,3.65
USA,KHM,3.625,2,3.625
GBR,BEL,3.6,2,3.6
BEL,GBR,-3.6,2,3.6
SAU,SYR,3.6,2,3.6
FRA,CIV,3.6,2,3.6
DEU,TUR,3.5625,2,3.5625
IND,GBR,3.55,2,3.55
EUR,PSE,3.55,2,3.55
GRC,SYR,3.533333333,2,3.533333333
ITA,EGY,-3.533333333,2,3.533333333
THA,MYS,-3.5,2,3.5
GMB,CHN,3.5,2,3.5
NZL,IRN,3.5,2,3.5
CZE,TUR,3.5,2,3.5
EUR,AUS,3.5,2,3.5
FRA,DEU,3.454545455,2,3.454545455
CHN,SWE,3.45,2,3.45
USA,ARE,3.45,2,3.45
AUT,DEU,3.444444444,2,3.444444444
SOM,AFR,-3.44,2,3.44
EUR,CYP,3.44,2,3.44
MAR,EUR,3.4375,2,3.4375
ITA,ESP,3.42,2,3.42
MDV,FIN,3.4,2,3.4
ALB,SRB,3.4,2,3.4
CHN,SOM,3.4,2,3.4
ARG,GBR,3.4,2,3.4
PRT,ISR,3.4,2,3.4
SDN,SSD,3.4,2,3.4
WST,RUS,3.4,2,3.4
RUS,CHE,3.4,2,3.4
FRA,CAN,3.4,2,3.4
USA,MOZ,3.4,2,3.4
SAU,TUR,3.4,2,3.4
LKA,NGA,3.4,2,3.4
FRA,CYP,3.4,2,3.4
GBR,SVK,3.4,2,3.4
EUR,ISR,3.4,2,3.4
KEN,GBR,3.4,2,3.4
PHL,PRK,-3.4,2,3.4
JPN,EUR,3.4,2,3.4
FRA,AFR,3.4,2,3.4
MMR,NGA,3.4,2,3.4
YEM,LBN,3.4,2,3.4
HUN,MKD,3.4,2,3.4
CHN,AUS,3.4,2,3.4
TUR,ISR,-3.375,2,3.375
PSE,ISR,-3.345138889,2,3.345138889
BEL,DZA,-3.333333333,2,3.333333333
LBN,USA,-3.3,2,3.3
KEN,CAN,-3.3,2,3.3
CHE,SYR,3.288888889,2,3.288888889
BEL,FRA,-3.279207921,2,3.279207921
ITA,BEL,-3.275,2,3.275
AUS,FJI,3.271428571,2,3.271428571
IRL,GBR,3.266666667,2,3.266666667
CAN,GBR,3.2,2,3.2
JPN,GBR,3.2,2,3.2
TUR,GRC,3.186666667,2,3.186666667
PRK,USA,-3.184615385,2,3.184615385
TUR,IRQ,3.175,2,3.175
AUT,EUR,3.133333333,2,3.133333333
IDN,PHL,-3.1,2,3.1
VAT,FRA,3.1,2,3.1
IRQ,TUR,-3.075,2,3.075
AUS,GBR,3.06,2,3.06
POL,NLD,3.054545455,2,3.054545455
NLD,POL,3.054545455,2,3.054545455
HRV,MKD,-3.05,2,3.05
TUR,RUS,-3.05,2,3.05
AUT,HUN,3.025,2,3.025
CHN,AFG,3,2,3.0
IDN,PSE,3,2,3.0
BFA,GIN,3,2,3.0
GBR,NZL,3,2,3.0
BFA,DJI,3,2,3.0
BFA,MRT,3,2,3.0
CHN,GBR,3,2,3.0
BFA,ETH,3,2,3.0
MDV,USA,3,2,3.0
BFA,MOZ,3,2,3.0
UGA,SDN,3,2,3.0
MCO,CIV,3,2,3.0
BFA,ZWE,3,2,3.0
BFA,LSO,3,2,3.0
NER,FRA,3,2,3.0
IDN,ISR,3,2,3.0
BFA,MDG,3,2,3.0
BFA,UGA,3,2,3.0
BFA,BDI,3,2,3.0
BFA,LBR,3,2,3.0
ARE,IRN,3,2,3.0
BFA,SLE,3,2,3.0
VAT,ARM,-3,2,3.0
LBN,EUR,3,2,3.0
BFA,NER,3,2,3.0
BFA,TCD,3,2,3.0
BFA,SWZ,3,2,3.0
CRI,CUB,3,2,3.0
BFA,MLI,3,2,3.0
BFA,MWI,3,2,3.0
GBR,KNA,3,2,3.0
NLD,CHN,3,2,3.0
BFA,SSD,3,2,3.0
BFA,AFG,3,2,3.0
IRQ,USA,-3,2,3.0
BFA,KEN,3,2,3.0
CHE,NZL,3,2,3.0
DEU,AUS,3,2,3.0
BFA,ERI,3,2,3.0
GBR,IRL,3,2,3.0
FIN,IRQ,-3,2,3.0
RUS,PRK,3,2,3.0
IRL,FRA,3,2,3.0
BFA,MMR,3,2,3.0
BFA,NPL,3,2,3.0
BFA,COG,3,2,3.0
BFA,SDN,3,2,3.0
MYS,CHN,2.986666667,2,2.986666667
SYR,AUS,2.972727273,2,2.972727273
ESP,ITA,2.95,2,2.95
USA,IND,2.95,2,2.95
POL,USA,2.95,2,2.95
NPL,CHN,2.95,2,2.95
FRA,ESP,2.95,2,2.95
CHN,IDN,2.925,2,2.925
ALB,ITA,2.9,2,2.9
USA,NMR,2.9,2,2.9
FRA,IRN,-2.88,2,2.88
PAK,IRN,2.866666667,2,2.866666667
POL,BEL,2.85,2,2.85
MKD,SYR,2.84,2,2.84
MYS,USA,2.833333333,2,2.833333333
BEL,NLD,2.821052632,2,2.821052632
IRQ,AUS,2.8,2,2.8
EUR,LBY,-2.8,2,2.8
TUR,AUS,2.8,2,2.8
EGY,ISR,2.8,2,2.8
DJI,EGY,2.8,2,2.8
KAZ,RUS,2.8,2,2.8
KOR,BRA,2.8,2,2.8
GRC,IRQ,2.8,2,2.8
HRV,SRB,2.8,2,2.8
RUS,MOZ,2.8,2,2.8
GRC,ALB,2.8,2,2.8
YEM,BHR,2.8,2,2.8
PAK,JOR,2.8,2,2.8
EUR,AFG,2.8,2,2.8
SYR,IDN,2.8,2,2.8
IRQ,EUR,2.8,2,2.8
AFG,NOR,2.8,2,2.8
KHM,AUS,2.8,2,2.8
USA,HUN,2.8,2,2.8
ARE,SAU,2.8,2,2.8
RUS,ARE,2.8,2,2.8
MNG,PAN,2.8,2,2.8
EUR,MLI,2.8,2,2.8
GRC,AFG,2.8,2,2.8
MEX,CUB,2.8,2,2.8
AUS,THA,2.8,2,2.8
LAO,MMR,2.8,2,2.8
ISR,CHN,2.8,2,2.8
NRU,AUS,2.8,2,2.8
AUS,TWN,2.8,2,2.8
GRC,ISL,2.8,2,2.8
KWT,CYP,2.8,2,2.8
PRT,BHS,2.8,2,2.8
IRQ,JOR,2.8,2,2.8
KWT,ARE,2.8,2,2.8
GRC,GBR,2.8,2,2.8
ECU,AFR,2.8,2,2.8
HTI,USA,2.8,2,2.8
GHA,USA,2.8,2,2.8
CHN,KHM,2.8,2,2.8
RUS,LAO,2.8,2,2.8
URY,BRA,2.8,2,2.8
KHM,MMR,2.8,2,2.8
ARG,BEL,2.8,2,2.8
GTM,USA,2.8,2,2.8
VEN,USA,2.8,2,2.8
NMR,USA,2.8,2,2.8
AUS,RUS,2.8,2,2.8
NZL,USA,2.8,2,2.8
GBR,PAK,2.8,2,2.8
LKA,AUS,2.8,2,2.8
PGS,IRN,2.8,2,2.8
JOR,TUR,2.8,2,2.8
GRC,VAT,2.8,2,2.8
BHR,KWT,2.8,2,2.8
KNA,USA,2.8,2,2.8
ECU,AUS,2.8,2,2.8
AFR,MYS,2.8,2,2.8
GRC,NLD,2.8,2,2.8
USA,LBR,2.8,2,2.8
BEL,PAK,2.8,2,2.8
VEN,ESP,2.8,2,2.8
AUS,AFR,2.8,2,2.8
ABW,USA,2.8,2,2.8
ESP,BEL,2.8,2,2.8
BEL,ITA,2.8,2,2.8
SAS,NPL,2.8,2,2.8
HUN,DEU,2.8,2,2.8
IRN,VNM,2.8,2,2.8
PAN,CUB,2.8,2,2.8
SAU,EGY,2.8,2,2.8
MMR,THA,2.8,2,2.8
LKA,EUR,2.8,2,2.8
ARE,QAT,2.8,2,2.8
SLV,CUB,2.8,2,2.8
LBY,SYR,2.8,2,2.8
ITA,EUR,2.8,2,2.8
ITA,AUT,2.8,2,2.8
ARE,PHL,2.8,2,2.8
IRQ,DNK,2.8,2,2.8
EUR,DZA,2.8,2,2.8
PSE,DEU,2.8,2,2.8
COL,CHL,2.8,2,2.8
CYP,EUR,2.8,2,2.8
AUS,SWE,2.8,2,2.8
PRT,USA,2.8,2,2.8
TCD,USA,2.8,2,2.8
CHN,SEA,2.8,2,2.8
IDN,BGD,2.8,2,2.8
IRL,ESP,2.8,2,2.8
GBR,PRK,2.8,2,2.8
ARE,PAK,2.8,2,2.8
RUS,PSE,2.8,2,2.8
DEU,ESP,2.8,2,2.8
CUB,USA,2.782142857,2,2.782142857
CHN,MYS,2.765384615,2,2.765384615
USA,ARG,2.764864865,2,2.764864865
BEL,TUR,-2.76,2,2.76
BEL,CHN,-2.755555556,2,2.755555556
GBR,NPL,2.74,2,2.74
EUR,TUR,2.731914894,2,2.731914894
LBN,SYR,2.725,2,2.725
JOR,SDN,2.7,2,2.7
SDN,JOR,2.7,2,2.7
MEX,USA,-2.695652174,2,2.695652174
FRA,BEL,-2.694285714,2,2.694285714
TUR,DEU,-2.666666667,2,2.666666667
DEU,FRA,2.666666667,2,2.666666667
JPN,AUS,-2.657142857,2,2.657142857
FJI,AUS,2.65,2,2.65
SRB,MKD,-2.65,2,2.65
SYR,CHE,2.647058824,2,2.647058824
USA,AFG,2.614285714,2,2.614285714
AUS,SYR,2.59,2,2.59
GRC,TUR,2.586363636,2,2.586363636
NLD,GRC,2.56,2,2.56
NOR,AFG,-2.55,2,2.55
USA,CUB,2.51015625,2,2.51015625
USA,JOR,-2.509090909,2,2.509090909
CHN,TWN,2.5,2,2.5
GBR,DEU,2.5,2,2.5
MYS,FRA,2.5,2,2.5
ISR,EGY,2.5,2,2.5
ESP,USA,2.411428571,2,2.411428571
USA,CAN,2.409090909,2,2.409090909
MYS,AUS,2.4,2,2.4
JPN,CHN,2.35,2,2.35
PSE,BEL,2.35,2,2.35
BHR,ARE,2.35,2,2.35
OMN,BHR,2.35,2,2.35
ARE,OMN,2.35,2,2.35
OMN,QAT,2.35,2,2.35
QAT,BHR,2.35,2,2.35
JAM,USA,2.35,2,2.35
QAT,OMN,2.35,2,2.35
OMN,ARE,2.35,2,2.35
ARE,BHR,2.35,2,2.35
BHR,QAT,2.35,2,2.35
BHR,OMN,2.35,2,2.35
QAT,ARE,2.35,2,2.35
USA,DEU,2.32,2,2.32
PHL,BGD,2.3,2,2.3
HUN,SRB,-2.3,2,2.3
RUS,USA,2.273684211,2,2.273684211
CAN,SYR,2.266666667,2,2.266666667
USA,HND,2.266666667,2,2.266666667
EGY,CYP,2.23125,2,2.23125
ARG,USA,2.229411765,2,2.229411765
EUR,SYR,2.222222222,2,2.222222222
FRA,NLD,2.2,2,2.2
BRA,PRT,-2.2,2,2.2
USA,GBR,2.2,2,2.2
MOZ,MYS,2.164705882,2,2.164705882
DEU,EUR,2.125,2,2.125
SAU,IRN,-2.114285714,2,2.114285714
JPN,ISR,2.111111111,2,2.111111111
AUS,IRN,2.1,2,2.1
USA,ISR,2.070731707,2,2.070731707
PRK,KOR,-2.058333333,2,2.058333333
USA,RUS,2.034782609,2,2.034782609
USA,SYR,2.021428571,2,2.021428571
COD,AFR,-2,2,2.0
RUS,UZB,-2,2,2.0
USA,SGP,-2,2,2.0
CIV,USA,-2,2,2.0
CHN,PHL,-2,2,2.0
AUS,MMR,-2,2,2.0
MYS,MMR,-2,2,2.0
DNK,USA,-2,2,2.0
POL,EUR,-2,2,2.0
DEU,GBR,2,2,2.0
BGD,PAK,-2,2,2.0
ARE,RUS,2,2,2.0
USA,SOM,-2,2,2.0
PRK,PHL,-2,2,2.0
COG,AFR,-2,2,2.0
MYS,KHM,-2,2,2.0
BEL,ISR,-2,2,2.0
LBY,EGY,2,2,2.0
EGY,ITA,-2,2,2.0
MYS,MUS,-2,2,2.0
FRA,MYS,-2,2,2.0
RUS,GBR,-2,2,2.0
LBY,CAN,-2,2,2.0
USA,CIV,-2,2,2.0
LSO,ZAF,-2,2,2.0
LTU,BLR,-2,2,2.0
KOR,CHN,-2,2,2.0
CHN,IRN,-2,2,2.0
EUR,SRB,-2,2,2.0
WST,NOR,-2,2,2.0
MYS,MDV,-2,2,2.0
PGS,LBN,-2,2,2.0
TUR,NLD,1.99047619,2,1.99047619
LUX,EUR,1.975,2,1.975
TUR,EUR,1.9671875,2,1.9671875
RUS,UKR,-1.966666667,2,1.966666667
MYS,AFR,1.95,2,1.95
USA,ITA,1.95,2,1.95
AUS,IRQ,1.9,2,1.9
CUB,SLV,1.9,2,1.9
THA,MMR,1.9,2,1.9
AUS,KHM,1.9,2,1.9
CUB,PAN,1.9,2,1.9
PAK,SAS,1.9,2,1.9
IRQ,GRC,1.9,2,1.9
VNM,IRN,1.9,2,1.9
USA,CYP,1.9,2,1.9
DEU,PSE,1.9,2,1.9
SAU,ARE,1.9,2,1.9
USA,NZL,1.9,2,1.9
AUT,ITA,1.9,2,1.9
BEL,ESP,1.9,2,1.9
DEU,NLD,1.9,2,1.9
ARE,KWT,1.9,2,1.9
CYP,KWT,1.9,2,1.9
ITA,ALB,1.9,2,1.9
USA,KNA,1.9,2,1.9
IRN,PGS,1.9,2,1.9
AFR,FRA,1.9,2,1.9
DZA,EUR,1.9,2,1.9
BHS,PRT,1.9,2,1.9
GBR,JPN,1.9,2,1.9
MMR,KHM,1.9,2,1.9
AFR,ECU,1.9,2,1.9
IRN,PAK,1.9,2,1.9
AFG,EUR,1.9,2,1.9
MOZ,RUS,1.9,2,1.9
FRA,VAT,1.9,2,1.9
PHL,IDN,1.9,2,1.9
SRB,HRV,1.9,2,1.9
BRA,URY,1.9,2,1.9
BGD,IDN,1.9,2,1.9
CHL,COL,1.9,2,1.9
BRA,KOR,1.9,2,1.9
PHL,ARE,1.9,2,1.9
TUR,JOR,1.9,2,1.9
RUS,AUS,1.9,2,1.9
LAO,RUS,1.9,2,1.9
ALB,GRC,1.9,2,1.9
USA,GHA,1.9,2,1.9
CHN,THA,1.9,2,1.9
GBR,HRV,1.9,2,1.9
EUR,LKA,1.9,2,1.9
SYR,LBY,1.9,2,1.9
SRB,HUN,1.9,2,1.9
CUB,MEX,1.9,2,1.9
SYR,CAN,1.9,2,1.9
IDN,SYR,1.9,2,1.9
LBR,NGA,1.9,2,1.9
KWT,BHR,1.9,2,1.9
KHM,CHN,1.9,2,1.9
AUS,LKA,1.9,2,1.9
ISL,GRC,1.9,2,1.9
GRC,BEL,1.9,2,1.9
SWE,AUS,1.9,2,1.9
PAK,IND,1.9,2,1.9
PAK,BEL,1.9,2,1.9
USA,PRT,1.9,2,1.9
PAN,MNG,1.9,2,1.9
GBR,EGY,1.9,2,1.9
GIN,AUS,1.9,2,1.9
IDN,SDN,1.9,2,1.9
TWN,AUS,1.9,2,1.9
EGY,DJI,1.9,2,1.9
USA,ABW,1.9,2,1.9
AUS,FRA,1.9,2,1.9
MMR,LAO,1.9,2,1.9
BHR,YEM,1.9,2,1.9
AUS,NZL,1.9,2,1.9
YEM,ISR,1.9,2,1.9
PRK,GBR,1.9,2,1.9
ESP,DEU,1.9,2,1.9
PSE,RUS,1.9,2,1.9
LBR,USA,1.9,2,1.9
PAK,ARE,1.9,2,1.9
IRN,JOR,1.9,2,1.9
EUR,POL,-1.885714286,2,1.885714286
SYR,EUR,1.86,2,1.86
USA,AUS,1.845454545,2,1.845454545
USA,JPN,1.831034483,2,1.831034483
GBR,POL,1.813333333,2,1.813333333
POL,RUS,1.8,2,1.8
FRA,TUR,1.8,2,1.8
BEL,JPN,1.8,2,1.8
SYR,LBN,1.755555556,2,1.755555556
JOR,SYR,1.75,2,1.75
AFR,CHN,-1.75,2,1.75
USA,GRC,1.75,2,1.75
SAU,YEM,1.75,2,1.75
EGY,GBR,-1.733333333,2,1.733333333
GRC,DEU,1.72,2,1.72
EUR,DEU,1.716666667,2,1.716666667
USA,COL,1.7,2,1.7
ARE,USA,1.675,2,1.675
SYR,USA,1.64,2,1.64
SYR,RUS,-1.608823529,2,1.608823529
EUR,LUX,1.6,2,1.6
EGY,USA,1.564705882,2,1.564705882
IRQ,SYR,-1.55,2,1.55
VNM,USA,-1.55,2,1.55
KHM,USA,1.52,2,1.52
GBR,AUS,-1.5,2,1.5
MEX,CAN,-1.5,2,1.5
EUR,RUS,1.5,2,1.5
EUR,GRC,1.5,2,1.5
DEU,USA,1.4875,2,1.4875
ISR,FRA,1.48,2,1.48
PRK,CHN,1.45,2,1.45
ITA,VAT,1.45,2,1.45
TUR,BEL,-1.446153846,2,1.446153846
AUS,USA,1.411764706,2,1.411764706
USA,VEN,-1.4,2,1.4
IRN,RUS,-1.4,2,1.4
EUR,BEL,-1.38125,2,1.38125
PRT,BRA,-1.333333333,2,1.333333333
SWE,EUR,1.333333333,2,1.333333333
SAS,PAK,1.3,2,1.3
GRC,EUR,1.3,2,1.3
PSE,EGY,1.275,2,1.275
AUS,MYS,1.252173913,2,1.252173913
ESP,IRL,-1.25,2,1.25
EUR,GBR,1.236363636,2,1.236363636
AFR,AUS,-1.22,2,1.22
SYR,TUR,-1.210714286,2,1.210714286
SYR,GRC,1.2,2,1.2
AUS,MOZ,1.2,2,1.2
NLD,DEU,1.2,2,1.2
PHL,USA,1.2,2,1.2
RUS,CHN,-1.2,2,1.2
USA,KOR,1.194736842,2,1.194736842
MYS,MOZ,1.1875,2,1.1875
CAN,USA,-1.176190476,2,1.176190476
WST,EUR,1.166666667,2,1.166666667
FRA,USA,1.159090909,2,1.159090909
USA,GTM,1.15,2,1.15
TUR,SYR,-1.121212121,2,1.121212121
BEL,SYR,-1.1,2,1.1
IRL,USA,1.1,2,1.1
JOR,ISR,-1.083333333,2,1.083333333
DEU,GRC,1.08,2,1.08
CYP,USA,1.066666667,2,1.066666667
CHN,CHE,1.066666667,2,1.066666667
USA,EUR,-1.06,2,1.06
LBY,AFR,-1.05,2,1.05
PAK,GBR,-1.05,2,1.05
NGA,CMR,-1.04,2,1.04
RUS,KAZ,-1.025,2,1.025
CHN,USA,1.0125,2,1.0125
NOR,WST,1,2,1.0
GUY,USA,1,2,1.0
CHN,BRN,-1,2,1.0
BEL,RUS,1,2,1.0
MRT,MUS,1,2,1.0
MOZ,USA,-1,2,1.0
EGY,TUR,1,2,1.0
THA,USA,-1,2,1.0
JOR,SAU,1,2,1.0
CHE,JOR,1,2,1.0
AUT,SYR,1,2,1.0
ARE,NGA,1,2,1.0
HUN,RUS,1,2,1.0
NGA,ARE,1,2,1.0
USA,MCO,1,2,1.0
TUR,EGY,1,2,1.0
SYR,AUT,1,2,1.0
USA,CHE,1,2,1.0
YEM,AGO,1,2,1.0
EUR,EGY,-1,2,1.0
AGO,YEM,1,2,1.0
USA,NOR,1,2,1.0
CHE,USA,1,2,1.0
ESP,IRN,1,2,1.0
UGA,USA,1,2,1.0
RUS,HUN,1,2,1.0
JOR,CHE,1,2,1.0
SGP,NZL,-1,2,1.0
SAU,JOR,1,2,1.0
PSE,USA,-0.977777778,2,0.977777778
UKR,RUS,-0.956521739,2,0.956521739
AUS,ECU,0.95,2,0.95
EGY,SAU,0.95,2,0.95
JOR,IRQ,0.95,2,0.95
FRA,SYR,0.95,2,0.95
RUS,SYR,0.947222222,2,0.947222222
TUR,POL,0.933333333,2,0.933333333
USA,FRA,0.927272727,2,0.927272727
NLD,FRA,-0.922222222,2,0.922222222
PHL,CHN,-0.92,2,0.92
PAK,AFG,-0.9,2,0.9
HND,USA,0.9,2,0.9
POL,GBR,0.894117647,2,0.894117647
GRC,USA,0.886666667,2,0.886666667
SAU,USA,0.871428571,2,0.871428571
BEL,EUR,-0.861538462,2,0.861538462
SYR,BEL,-0.857142857,2,0.857142857
GBR,USA,0.845454545,2,0.845454545
CHE,FRA,0.84,2,0.84
THA,CHN,-0.84,2,0.84
AFG,WST,-0.84,2,0.84
USA,SAU,-0.833333333,2,0.833333333
AFG,USA,0.825,2,0.825
DEU,ALB,-0.8,2,0.8
USA,VNM,0.8,2,0.8
AUS,CHN,0.8,2,0.8
PRK,JPN,-0.8,2,0.8
ISR,IRN,-0.766666667,2,0.766666667
USA,BEL,-0.761904762,2,0.761904762
JPN,PRK,0.75,2,0.75
MOZ,AUS,0.74,2,0.74
FRA,AUS,0.72,2,0.72
CYP,EGY,0.7,2,0.7
EUR,IRN,0.7,2,0.7
THA,AUS,-0.7,2,0.7
ITA,AUS,0.7,2,0.7
AUS,JPN,0.675,2,0.675
NLD,BEL,-0.671428571,2,0.671428571
KWT,LBN,-0.666666667,2,0.666666667
RUS,BEL,-0.65,2,0.65
USA,IRQ,0.646153846,2,0.646153846
EGY,PSE,0.628571429,2,0.628571429
EUR,CHN,0.628571429,2,0.628571429
GBR,TUR,0.625,2,0.625
USA,PRK,-0.622857143,2,0.622857143
USA,TUR,-0.611764706,2,0.611764706
USA,POL,0.611111111,2,0.611111111
USA,HTI,0.6,2,0.6
IND,USA,0.6,2,0.6
AUS,TUR,0.56,2,0.56
FRA,GBR,-0.546153846,2,0.546153846
SYR,DEU,0.54,2,0.54
CMR,NGA,0.533333333,2,0.533333333
USA,MDV,0.533333333,2,0.533333333
MKD,GRC,-0.517391304,2,0.517391304
USA,PSE,0.5,2,0.5
USA,CRI,-0.5,2,0.5
SEA,CHN,0.5,2,0.5
KOR,USA,0.486666667,2,0.486666667
USA,LBN,-0.48,2,0.48
NLD,GBR,-0.48,2,0.48
GBR,NLD,-0.48,2,0.48
RUS,TUR,0.475,2,0.475
AUS,ITA,-0.470588235,2,0.470588235
BEL,AUS,-0.466666667,2,0.466666667
JOR,USA,0.466666667,2,0.466666667
CHN,ARG,0.466666667,2,0.466666667
USA,AFR,-0.461538462,2,0.461538462
VAT,ITA,0.45,2,0.45
USA,IRN,0.444444444,2,0.444444444
NRU,KHM,0.4,2,0.4
SGP,MYS,-0.4,2,0.4
PRT,EUR,0.4,2,0.4
JPN,CAN,-0.4,2,0.4
MRT,LBY,-0.4,2,0.4
CRI,USA,0.4,2,0.4
NOR,GBR,0.4,2,0.4
MAR,USA,0.4,2,0.4
TUN,USA,0.4,2,0.4
MKD,IRQ,-0.4,2,0.4
TZA,USA,0.4,2,0.4
AFG,SYR,0.4,2,0.4
PHL,SGP,0.4,2,0.4
ETH,USA,0.4,2,0.4
EUR,IRQ,0.366666667,2,0.366666667
IDN,CHN,-0.366666667,2,0.366666667
FRA,ISR,0.333333333,2,0.333333333
USA,GUY,0.333333333,2,0.333333333
USA,MEX,0.314285714,2,0.314285714
NLD,TUR,0.305263158,2,0.305263158
USA,EGY,0.304347826,2,0.304347826
SDN,IDN,0.3,2,0.3
LCA,USA,0.266666667,2,0.266666667
NOR,USA,0.25,2,0.25
YEM,SAU,0.25,2,0.25
CAN,JAM,0.2,2,0.2
LBY,USA,-0.2,2,0.2
EGY,EUR,-0.2,2,0.2
FRA,ITA,0.2,2,0.2
SYR,FRA,0.2,2,0.2
JOR,IRN,0.175,2,0.175
YEM,USA,0.16,2,0.16
SOM,USA,0.16,2,0.16
AUS,BEL,-0.15,2,0.15
ISR,USA,0.136111111,2,0.136111111
USA,CHN,-0.1225,2,0.1225
GBR,EUR,0.1125,2,0.1125
USA,JAM,-0.1,2,0.1
DEU,PHL,-0.1,2,0.1
JPN,USA,-0.096153846,2,0.096153846
AFR,USA,-0.089473684,2,0.089473684
GRC,MKD,0.066666667,2,0.066666667
ITA,FRA,-0.057142857,2,0.057142857
EUR,ITA,-0.05,2,0.05
IRN,TUR,0.05,2,0.05
USA,IRL,0.033333333,2,0.033333333
FRA,EUR,0.03,2,0.03
WST,AFG,-0.02,2,0.02
AUS,DEU,0,2,0.0
WST,SRB,0,2,0.0
DEU,HUN,0,2,0.0
UGA,CAN,0,2,0.0
SWE,NLD,0,2,0.0
SEN,AFR,0,2,0.0
CYP,GRC,0,2,0.0
CAN,NLD,0,2,0.0
NZL,NLD,0,2,0.0
BLR,LTU,0,2,0.0
MKD,DEU,0,2,0.0
GRC,NOR,0,2,0.0
SGP,PHL,0,2,0.0
SWE,USA,0,2,0.0
WST,ALB,0,2,0.0
SYR,IRN,0,2,0.0
USA,NER,0,2,0.0
NLD,CAN,0,2,0.0
RUS,IRN,0,2,0.0
EUR,ALB,0,2,0.0
AUS,NLD,0,2,0.0
NZL,GBR,0,2,0.0
MCO,USA,0,2,0.0
GBR,AFG,0,2,0.0
ESP,EUR,0,2,0.0
RUS,EGY,0,2,0.0
NOR,BMU,0,2,0.0
ZAF,AUS,0,2,0.0
BEL,CUB,0,2,0.0
LVA,USA,0,2,0.0
AFR,BWA,0,2,0.0
TUN,PSE,0,2,0.0
USA,HUN,-10,3,10.0
ARM,TUR,-10,3,10.0
KEN,MDV,-10,3,10.0
GBR,MDV,-10,3,10.0
JPN,AUS,-10,3,10.0
CAF,MAR,-10,3,10.0
SOM,USA,-10,3,10.0
IND,COD,-10,3,10.0
MDV,USA,-10,3,10.0
COG,USA,-10,3,10.0
MMR,GBR,-10,3,10.0
CHN,IND,-10,3,10.0
TCD,USA,-10,3,10.0
SWE,LBY,-10,3,10.0
USA,TCD,-10,3,10.0
DNK,IRQ,-10,3,10.0
SYR,UZB,-10,3,10.0
ZWE,USA,-10,3,10.0
IRN,PNG,-10,3,10.0
LBN,IRQ,-10,3,10.0
ARE,IDN,-10,3,10.0
RUS,PRK,-10,3,10.0
AUS,SAU,-10,3,10.0
DEU,ARM,-10,3,10.0
CHN,ITA,-10,3,10.0
WST,AFG,-10,3,10.0
RUS,BLR,-9.5,3,9.5
BLR,RUS,-9.5,3,9.5
AUT,HUN,-9.5,3,9.5
CHN,KOR,-9,3,9.0
GBR,LBN,-9,3,9.0
NOR,CAN,-9,3,9.0
SEA,NOR,-8.5,3,8.5
TUR,ARM,-8.4,3,8.4
SOM,JOR,-8.333333333,3,8.333333333
BGD,USA,-8.1,3,8.1
LBY,IRN,8,3,8.0
IRQ,IRN,8,3,8.0
JAM,TTO,-8,3,8.0
AFR,FRA,8,3,8.0
FRA,DZA,-8,3,8.0
IRN,AFR,8,3,8.0
AFG,IRN,8,3,8.0
IRN,EUR,8,3,8.0
BRA,FRA,8,3,8.0
FRA,CHN,8,3,8.0
ISR,EGY,8,3,8.0
AFR,IRN,8,3,8.0
FRA,CHE,8,3,8.0
FRA,AFR,8,3,8.0
USA,MNG,-7.5,3,7.5
MLI,FRA,-7.5,3,7.5
ARM,AZE,-7.5,3,7.5
MLI,CIV,-7.5,3,7.5
DEU,RUS,-7.5,3,7.5
PHL,NOR,7.4,3,7.4
AUS,IRN,7.4,3,7.4
TUR,ESP,7.4,3,7.4
THA,CHN,7.4,3,7.4
DEU,EGY,7.4,3,7.4
IRQ,PAK,7.4,3,7.4
TUR,FIN,7.4,3,7.4
FIN,DEU,7.4,3,7.4
FRA,MLI,7.4,3,7.4
ESP,ECU,7.4,3,7.4
RWA,ZMB,-7.333333333,3,7.333333333
THA,PAN,-7.2,3,7.2
PSE,EGY,-7.2,3,7.2
USA,BHS,7,3,7.0
USA,KEN,7,3,7.0
IRN,AUS,-7,3,7.0
JOR,DEU,7,3,7.0
ZMB,ZWE,-7,3,7.0
USA,LKA,7,3,7.0
CZE,NOR,7,3,7.0
CHN,ECU,7,3,7.0
USA,RWA,7,3,7.0
USA,SWE,7,3,7.0
ISR,BGR,7,3,7.0
GBR,ITA,7,3,7.0
CHN,ARE,7,3,7.0
CAN,BEL,7,3,7.0
USA,ZAF,7,3,7.0
NOR,CZE,7,3,7.0
LBN,PSE,-7,3,7.0
USA,ARE,7,3,7.0
USA,IND,7,3,7.0
JPN,BRA,7,3,7.0
DEU,ESP,7,3,7.0
SEN,AFR,7,3,7.0
MWI,ZWE,-7,3,7.0
ESP,DEU,7,3,7.0
WST,EUR,7,3,7.0
EGY,SDN,7,3,7.0
USA,COL,7,3,7.0
PSE,USA,7,3,7.0
NOR,ESP,7,3,7.0
EGY,IRN,7,3,7.0
CZE,DEU,7,3,7.0
