Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
TMP,TUN,6.4,0
YEM,NLD,6.4,0
ECU,KOR,6.4,0
IRL,URY,6.4,0
ARG,KOR,6.4,0
IND,VNM,6.4,0
UKR,SEA,6.4,0
TWN,SWE,6.4,0
KOR,ARG,6.4,0
SAS,IDN,6.4,0
UKR,CAS,6.4,0
ARM,PAK,6.4,0
NOR,KEN,6.4,0
ISR,ERI,-6.4,0
CRB,GUY,6.4,0
MWI,MMR,6.4,0
CPV,BRA,6.4,0
LVA,BLR,6.4,0
UGA,GAB,6.4,0
LBY,PRK,6.4,0
COK,USA,6.4,0
JAM,MDV,-6.375,0
KOR,AUT,6.352941176,0
FRA,SLE,6.344444444,0
USA,TKM,6.333333333,0
DNK,IDN,-6.333333333,0
SWE,LUX,6.333333333,0
ARE,PAN,6.333333333,0
SVK,LVA,6.325,0
RUS,SAS,6.3,0
BTN,CHN,6.292307692,0
SYR,CZE,6.29,0
BTN,BGD,6.28,0
MDV,SWE,-6.275,0
GAB,UGA,6.271428571,0
UKR,SVK,6.266666667,0
JPN,BHR,6.266666667,0
CHN,TKM,6.266666667,0
CYP,SGP,6.266666667,0
MYS,LAO,6.2625,0
IDN,HTI,-6.25,0
DEU,TJK,6.25,0
UKR,MEX,6.25,0
NLD,MCO,6.25,0
COK,NZL,6.245454545,0
PAK,SGP,6.242857143,0
EGY,ESP,6.216129032,0
SEN,GMB,6.2,0
DEU,ZMB,6.2,0
ZMB,DEU,6.2,0
WST,IRQ,-6.2,0
ARM,CAN,6.185714286,0
SAU,AGO,6.185714286,0
MYS,YEM,6.166666667,0
TZA,FIN,6.166666667,0
LAO,MYS,6.16,0
IDN,LKA,6.16,0
BHR,SOM,6.15,0
TKM,SYR,-6.15,0
NGA,TUN,-6.142857143,0
SWE,EGY,-6.142857143,0
ESP,EGY,6.142424242,0
AUS,URY,6.14,0
HUN,VNM,6.133333333,0
TJK,AZE,6.133333333,0
SOM,SDN,6.127272727,0
TCD,LBY,-6.125,0
VNM,NZL,6.12,0
COL,ITA,6.1125,0
SEA,TUR,6.1,0
LBR,MLI,6.1,0
IRL,NPL,-6.1,0
ZWE,BRA,6.1,0
LBN,PAK,-6.09122807,0
DEU,ZAF,6.071428571,0
VAT,UKR,6.066666667,0
TCD,FRA,-6.05,0
TZA,USA,-6.046938776,0
PSE,BGR,6.04,0
TUN,MAR,-6.035135135,0
SEA,KEN,-6.033333333,0
UKR,NGA,6.025,0
GHA,ARE,6,0
GBR,HND,6,0
UGA,BGD,6,0
QAT,CHL,6,0
IRN,FJI,6,0
IRN,SGP,6,0
MKD,DNK,6,0
ARM,BRA,6,0
IRQ,FJI,6,0
IDN,LBN,6,0
PSE,MLT,6,0
PAK,CZE,6,0
DZA,QAT,-6,0
NRU,RUS,6,0
NGA,YEM,-6,0
NRU,VEN,6,0
AUS,OMN,6,0
VCT,SYR,6,0
MOZ,QAT,6,0
MNG,CHE,6,0
LBY,VNM,-6,0
NPL,MCO,6,0
MCO,JAM,6,0
BGD,UGA,6,0
BRN,AUS,6,0
AUT,MDV,-6,0
CZE,WST,-6,0
VCT,FRA,6,0
TUR,NMR,6,0
TZA,NLD,6,0
MLT,MKD,6,0
MYS,CHL,6,0
SOM,ISR,6,0
CIV,BEL,6,0
PAN,ARE,6,0
VNM,PER,6,0
BRA,ARM,6,0
KOR,CHL,6,0
VAT,IDN,-6,0
SGP,IRQ,-6,0
ETH,JPN,6,0
CHN,LSO,6,0
ARG,CZE,6,0
BMU,AFR,6,0
EGY,BGD,6,0
KWT,VNM,6,0
MDV,LAO,6,0
CIV,CAN,6,0
KNA,JPN,6,0
ZAF,CAF,6,0
JPN,BDI,6,0
NGA,SGP,6,0
AFR,WAF,6,0
RUS,ZWE,6,0
AFG,VNM,-6,0
QAT,VNM,6,0
SWE,CYP,6,0
IRQ,BLR,6,0
ESP,LUX,6,0
VUT,BHS,6,0
MUS,AUS,6,0
CYP,SWE,6,0
KOR,ETH,6,0
FRA,TCD,-6,0
KOR,SSD,6,0
CHL,NGA,6,0
AZE,ESP,6,0
ZMB,LBY,6,0
UKR,CYP,6,0
SEA,AZE,6,0
CHL,QAT,6,0
HRV,AFG,-6,0
SEA,SLB,6,0
CIV,BDI,6,0
NRU,NIC,6,0
KEN,ISR,6,0
SGP,SYR,-6,0
TKM,FJI,6,0
BRN,PER,6,0
TZA,EAF,6,0
VAT,MYS,6,0
SEN,DEU,6,0
NMR,ARG,6,0
ISR,PHL,6,0
TGO,CIV,6,0
BGR,QAT,6,0
MCO,NPL,6,0
EGY,PRT,-6,0
PRT,AUS,-6,0
IDN,EGY,6,0
LCA,CHN,6,0
ETH,CHE,6,0
NLD,SAU,6,0
PER,RUS,6,0
JPN,BRB,6,0
PAK,FJI,6,0
PRK,VEN,6,0
TKM,CZE,6,0
POL,BOL,6,0
BRN,GMB,6,0
KEN,SGP,6,0
BWA,GIN,6,0
KWT,STP,6,0
FIN,OMN,6,0
UKR,ARM,6,0
AFR,KAZ,6,0
COK,EUR,6,0
CYP,UKR,6,0
FIN,AZE,6,0
CHE,MNG,6,0
ESP,UZB,6,0
MKD,MLT,6,0
UZB,ESP,6,0
TCD,JOR,6,0
NMR,TUR,6,0
FJI,AFR,6,0
HUN,CHN,5.985714286,0
CHL,JPN,5.972727273,0
SGP,CYP,5.966666667,0
BHR,JPN,5.966666667,0
SGP,MMR,5.966666667,0
EGY,TZA,5.957142857,0
IND,EGY,5.95,0
FRA,IDN,-5.939130435,0
GBR,ALB,-5.9375,0
KOR,COL,5.933333333,0
DNK,GHA,5.933333333,0
TUR,TUN,5.92,0
PRY,MEX,-5.92,0
KAZ,FRA,5.92,0
WST,FIN,5.916666667,0
SLB,USA,5.91,0
BFA,MAR,-5.907692308,0
PHL,EUR,5.904347826,0
JPN,CHL,5.9,0
ARE,RUS,5.878947368,0
BEL,ALB,-5.875,0
ITA,SVK,-5.875,0
SEA,LKA,5.866666667,0
ESP,ZAF,5.866666667,0
NOR,PER,-5.866666667,0
DZA,RUS,5.857142857,0
GRC,DNK,-5.85,0
CUB,LCA,5.85,0
SWE,MYS,5.85,0
NGA,TCD,-5.836585366,0
BGR,ESP,5.814285714,0
ZAF,DEU,5.8125,0
PRK,PAK,5.8,0
FRA,CYP,5.8,0
IND,POL,-5.8,0
HUN,JOR,5.8,0
GRD,GUY,5.8,0
WST,HRV,5.8,0
MNG,HUN,5.783333333,0
DZA,CHN,5.777777778,0
DEU,GHA,5.775,0
AUT,CHN,5.771428571,0
COK,WSM,5.771428571,0
ARE,EUR,5.753333333,0
BFA,AUS,-5.750761421,0
ARE,MYS,5.75,0
NOR,COL,-5.75,0
CHN,BWA,5.75,0
SVK,BGR,5.75,0
JPN,ARM,5.733333333,0
PRT,IRL,-5.733333333,0
IRN,MDV,-5.727272727,0
EUR,MNG,5.725,0
SDN,SOM,5.72173913,0
AUS,LBY,5.7,0
ARM,ARE,-5.7,0
MMR,PAK,5.7,0
EST,AUT,5.7,0
TZA,DEU,5.7,0
RWA,KWT,5.7,0
NAM,UGA,5.7,0
AGO,ZMB,5.7,0
GHA,BGD,5.7,0
DEU,MWI,5.7,0
SLE,BEL,5.7,0
SEN,BFA,-5.7,0
CZE,IRQ,5.692307692,0
NGA,VNM,5.6875,0
SSD,JPN,5.68,0
MYS,PER,5.68,0
TCD,CAN,-5.666666667,0
BRN,MEX,5.666666667,0
SVK,EST,5.666666667,0
LVA,SVK,5.666666667,0
BRN,CAN,5.666666667,0
LVA,IRQ,5.666666667,0
BRN,CHL,5.666666667,0
EST,SVK,5.666666667,0
ALB,WST,-5.657142857,0
IDN,BRN,5.657142857,0
BGD,JPN,-5.653846154,0
VUT,IDN,5.65,0
CAN,LKA,5.65,0
FJI,SEA,5.633333333,0
AGO,RUS,5.633333333,0
VNM,LKA,5.633333333,0
AIA,MDV,-5.625,0
AZE,ARE,5.625,0
LBN,NGA,-5.62,0
NZL,DNK,5.62,0
LBY,YEM,5.609090909,0
THA,SYR,5.6,0
LCA,FRA,5.6,0
EGY,ERI,5.6,0
ARE,POL,5.6,0
LKA,IRQ,5.6,0
ITA,DNK,5.6,0
PAK,OMN,5.6,0
CAN,VEN,5.6,0
VNM,NLD,5.6,0
LKA,RUS,5.6,0
GMB,BDI,5.6,0
PRK,IRQ,-5.6,0
DEU,MKD,5.6,0
IND,GNQ,5.6,0
CHE,KAZ,5.6,0
KWT,HUN,5.6,0
IRN,UKR,5.6,0
EUR,BDI,-5.6,0
COD,CHN,5.588888889,0
KWT,TZA,5.58,0
PRK,LBY,5.577777778,0
IND,KEN,5.575,0
SEA,VUT,5.575,0
CHN,TTO,5.575,0
TCD,NGA,-5.573809524,0
CAN,HUN,5.566666667,0
NOR,BRA,5.566666667,0
NGA,BLR,5.566666667,0
TZA,NOR,5.566666667,0
TUN,TUR,-5.566666667,0
TJK,SYR,5.566666667,0
GHA,TZA,5.5625,0
NGA,SLE,5.56,0
AGO,NAM,5.553846154,0
VNM,ESP,5.55,0
UKR,AFR,5.55,0
GRD,FRA,5.55,0
PRK,PAN,5.55,0
TWN,NOR,5.55,0
CAF,COD,5.55,0
BRN,NZL,5.545454545,0
AUS,BRN,5.545454545,0
KHM,AUS,5.544444444,0
SAS,RUS,5.542857143,0
USA,COK,5.533333333,0
SOM,UGA,-5.525,0
ESP,BGR,5.514285714,0
IDN,CAN,-5.509803922,0
BLR,LKA,5.5,0
ISL,DEU,5.5,0
COD,BEL,-5.5,0
GHA,BWA,5.5,0
PER,KOR,5.5,0
BWA,AGO,5.5,0
NLD,WST,5.5,0
FRA,LTU,5.5,0
JAM,LUX,5.5,0
MYS,VAT,5.5,0
CAF,COG,-5.5,0
AUS,CZE,-5.5,0
RWA,AGO,5.5,0
LBR,LBN,-5.5,0
JOR,BGR,5.5,0
LUX,JAM,5.5,0
PRK,TWN,5.5,0
ARG,UKR,5.5,0
GAB,GNQ,5.5,0
EST,AUS,5.5,0
UZB,PAK,5.49375,0
SYR,DZA,5.493333333,0
EGY,MEX,-5.490909091,0
TUR,DJI,5.475,0
HUN,KWT,5.475,0
AUT,PRT,5.466666667,0
CHN,EST,5.466666667,0
BGR,ISR,5.4625,0
QAT,BGD,5.457142857,0
DZA,KEN,5.45,0
AUS,GTM,5.45,0
IDN,AZE,5.433333333,0
IRL,COL,5.433333333,0
PER,BRN,5.428571429,0
NZL,BRA,5.428571429,0
ISR,LBN,-5.41875,0
CHN,BTN,5.41,0
NOR,IRQ,5.4,0
MLT,ALB,5.4,0
BTN,USA,5.4,0
AZE,MDA,5.4,0
IRL,MDA,5.4,0
RUS,NIC,5.4,0
SVK,NLD,5.4,0
AZE,IDN,5.4,0
PAN,HND,5.4,0
TCD,SDN,5.4,0
MMR,ISR,5.4,0
ISL,FIN,5.4,0
PAK,KAZ,5.4,0
SEN,GHA,5.4,0
TUR,RWA,5.4,0
CHN,TGO,5.4,0
DZA,BFA,5.4,0
AUS,COL,5.4,0
PRT,THA,5.4,0
MOZ,TZA,5.4,0
CZE,LIE,5.4,0
SOM,SSD,-5.4,0
RUS,BGD,5.39,0
WSM,COK,5.385714286,0
CHN,AUT,5.385714286,0
IRQ,MAR,-5.383333333,0
CHN,GNB,5.38,0
BRA,AFR,5.378571429,0
AZE,BGR,5.375,0
LVA,SYR,5.366666667,0
FIN,THA,-5.366666667,0
KEN,SLE,5.36,0
ZMB,BGD,5.36,0
ESP,JAM,-5.35,0
DEU,BGD,5.35,0
SYC,IDN,5.35,0
FIN,EST,5.346666667,0
ETH,COG,5.333333333,0
ASA,PAK,5.333333333,0
MKD,IRL,5.333333333,0
LCA,CUB,5.333333333,0
GNQ,IND,5.333333333,0
UGA,FRA,5.333333333,0
SEN,GNB,5.333333333,0
KHM,RUS,5.333333333,0
KOR,ZWE,5.333333333,0
GNB,SEN,5.333333333,0
NZL,BRN,5.307692308,0
AFG,KOR,-5.3,0
KOR,AZE,5.3,0
DOM,PHL,-5.3,0
FRA,LCA,5.3,0
POL,ARE,5.3,0
NLD,SUR,5.3,0
MEX,MAR,5.3,0
WAF,MLI,-5.275,0
VNM,AFR,5.271428571,0
JPN,LUX,5.266666667,0
SEA,ITA,5.266666667,0
PAK,ZAF,-5.261538462,0
NGA,MDV,-5.258823529,0
AFG,UZB,5.255555556,0
SEA,SAU,5.25,0
THA,AFG,5.25,0
CHL,BRN,5.25,0
BEL,LBR,5.25,0
USA,MUS,5.25,0
MEX,BRN,5.25,0
MEA,SYR,5.25,0
CHL,RUS,5.25,0
MUS,SAU,5.25,0
CAN,BRN,5.25,0
IRN,BLR,5.230769231,0
USA,SWZ,5.230769231,0
HUN,MNG,5.228571429,0
