Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
JOR,SEA,8.3,0
SSD,TCD,8.3,0
UKR,SSD,8.3,0
AUS,WST,8.3,0
PAK,BRN,8.3,0
SEA,CYP,8.3,0
WST,JOR,8.3,0
SEA,MLI,8.3,0
SSD,MLI,8.3,0
SSD,LBN,8.3,0
SAU,NIC,8.3,0
SEA,TCD,8.3,0
IND,CZE,-8.25,0
MYS,UKR,-8.165,0
ISR,DJI,-8.153846154,0
HUN,LVA,8.15,0
NAM,DEU,-8.133333333,0
UGA,DJI,8.1,0
PAK,NLD,8.08,0
BDI,SOM,-8.033333333,0
BGR,LVA,8,0
COK,FJI,8,0
DZA,GHA,8,0
KIR,COK,8,0
MEX,SWE,8,0
IND,BFA,8,0
SLE,TGO,8,0
ARM,IND,8,0
GMB,GHA,8,0
DMA,FRA,8,0
SLB,COK,8,0
COK,TON,8,0
JPN,TKM,8,0
JPN,MNG,8,0
TUV,USA,8,0
ZMB,SAF,8,0
KEN,GNQ,8,0
AUT,LTU,8,0
IDN,FIN,8,0
ETH,GHA,8,0
JPN,DJI,8,0
COD,SLE,8,0
FRA,DMA,8,0
ARM,LIE,8,0
NPL,MMR,8,0
MYS,SWE,8,0
TON,COK,8,0
BRA,LBY,8,0
KOR,SRB,8,0
MLT,SVK,8,0
EUR,SYC,8,0
IDN,FJI,8,0
ITA,LTU,8,0
LBY,AUS,8,0
TKM,JPN,8,0
JPN,SVK,8,0
LIE,AZE,8,0
FSM,COK,8,0
NRU,COK,8,0
GHA,DZA,8,0
LIE,ARM,8,0
ETH,GRD,8,0
SVK,MLT,8,0
IRN,TWN,8,0
ESP,MDA,8,0
UGA,NAM,8,0
AGO,EGY,8,0
DEU,UGA,8,0
LIE,BGR,8,0
BRN,MDV,8,0
BGR,LIE,8,0
SGP,MUS,8,0
COK,ESP,8,0
VEN,TWN,8,0
SLE,IND,8,0
HTI,AGO,-8,0
BGD,QAT,8,0
BLR,MDA,8,0
PAK,PAN,8,0
BFA,COG,8,0
CMR,EUR,8,0
ARE,CYP,8,0
TUV,COK,8,0
MDA,CZE,8,0
ISR,NAM,8,0
HND,GBR,8,0
SRB,KOR,8,0
COD,MLI,8,0
KOR,ISL,8,0
NLD,SLE,8,0
AUT,COL,8,0
IND,ARM,8,0
GIN,MAR,8,0
LVA,ITA,8,0
GNQ,ETH,8,0
LVA,HUN,8,0
NGA,BGR,8,0
CHE,CMR,8,0
URY,TGO,8,0
AZE,LIE,8,0
COL,AUT,8,0
TGO,SLE,8,0
LVA,BGR,8,0
MKD,BLR,8,0
COK,AUS,8,0
COK,MHL,8,0
KAZ,EST,8,0
TWN,ESP,8,0
VNM,FIN,8,0
SWE,MEX,8,0
CZE,MDA,8,0
NZL,NPL,8,0
BFA,KEN,8,0
EST,SAU,8,0
AGO,JPN,8,0
BHR,CHN,8,0
MDV,BRN,8,0
PNG,COK,8,0
HUN,AUS,8,0
RWA,NAM,8,0
PAN,PAK,8,0
BHR,DEU,8,0
YEM,AUS,-8,0
LBY,ESP,8,0
SAU,EST,8,0
BLR,TJK,8,0
NLD,MLT,8,0
IND,SLE,8,0
GNQ,KEN,8,0
MDA,ESP,8,0
SAF,ZMB,8,0
KWT,KOR,8,0
LTU,ITA,8,0
COK,NRU,8,0
GHA,GMB,8,0
MYS,BHR,8,0
ETH,GNQ,8,0
LTU,AUT,8,0
MLI,COD,8,0
TWN,VEN,8,0
MDA,BGR,8,0
USA,VUT,8,0
COG,BFA,8,0
EUR,COK,8,0
PER,UKR,8,0
DEU,TZA,8,0
PLW,COK,8,0
COK,PLW,8,0
PAK,MMR,8,0
TWN,BRA,8,0
NAM,ISR,8,0
BGR,NGA,8,0
MDA,BEL,8,0
KGZ,AFG,8,0
NRU,USA,8,0
SLV,BLZ,8,0
CYP,ARE,8,0
LVA,CZE,8,0
ARM,JPN,8,0
FJI,COK,8,0
PHL,JOR,8,0
PRK,MNG,8,0
COK,KIR,8,0
COK,SLB,8,0
KOR,KWT,8,0
CHL,SWE,8,0
NGA,PRK,-8,0
BGR,MDA,8,0
MHL,COK,8,0
VUT,COK,8,0
MAR,GIN,8,0
NAM,RWA,8,0
EGY,AGO,8,0
GHA,COG,8,0
MWI,DEU,8,0
CMR,CHE,8,0
NPL,NZL,8,0
COK,VUT,8,0
AUS,COK,8,0
UKR,PER,8,0
TON,ZMB,8,0
TGO,URY,8,0
MRT,USA,8,0
MDA,BLR,8,0
COG,GHA,8,0
DEU,BHR,8,0
SVK,JPN,8,0
LUX,LAO,8,0
NER,NOR,8,0
COK,PNG,8,0
BLR,MKD,8,0
COK,TUV,8,0
KOR,BEL,8,0
ISL,KOR,8,0
ESP,COK,8,0
USA,TUV,8,0
ESP,TWN,8,0
FJI,IDN,8,0
ETH,LVA,8,0
BEL,MDA,8,0
COK,FSM,8,0
AGO,BWA,8,0
LBY,BRA,8,0
BFA,NER,-7.98490566,0
IRQ,BGR,-7.9625,0
BLZ,CAN,-7.945238095,0
ITA,LVA,7.85,0
NLD,BFA,7.833333333,0
LBN,AFG,-7.8,0
USA,KIR,7.8,0
FIN,TZA,7.8,0
ETH,SYR,7.76,0
COD,KEN,7.75,0
BOL,JPN,-7.75,0
JPN,AGO,7.7,0
FIN,VNM,7.7,0
BGR,SVK,7.666666667,0
PRT,EGY,-7.666666667,0
SOM,VNM,-7.62,0
IDN,AFG,-7.62,0
FRA,GNQ,-7.6,0
CAN,DZA,-7.542857143,0
HND,ESP,-7.5,0
IND,IRQ,-7.5,0
LSO,ITA,-7.5,0
SAS,LBY,-7.5,0
GBR,SRB,7.5,0
COL,BEL,7.5,0
TUR,MDV,-7.5,0
CHE,ARM,7.5,0
FRA,ETH,7.5,0
ARM,CHE,7.5,0
UKR,LBR,-7.5,0
CYP,NGA,-7.5,0
ARG,SEN,-7.45,0
SGP,UGA,-7.44,0
MRT,TJK,7.4,0
NPL,ASA,7.4,0
COL,SWE,7.4,0
PER,EGY,7.4,0
CUB,TZA,7.4,0
HTI,NOR,7.4,0
ASA,BGD,7.4,0
NLD,NPL,7.4,0
BGR,THA,7.4,0
SEA,DJI,7.4,0
AFR,CPV,7.4,0
BGR,CRI,7.4,0
CYP,CAN,7.4,0
MMR,EUR,7.4,0
MNG,TZA,7.4,0
TZA,EUR,7.4,0
BGD,BRN,7.4,0
ASA,JPN,7.4,0
KOR,BWA,7.4,0
